STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS  IN CONSTITUENCY,OVER TOTAL VOTES POLLED  IN CONSTITUENCY,TOTAL ELECTORS
Jharkhand,LOHARDAGA,SUDARSHAN BHAGAT,1,BJP,Lotus,MALE,0.0,52.0,ST,Graduate,,,369527,2068,371595,30.10606942,45.40688957,1234286
Jharkhand,LOHARDAGA,SUKHDEO BHAGAT,0,INC,Hand,MALE,1.0,57.0,ST,Post Graduate,,,360068,1164,361232,29.26647471,44.14058729,1234286
Jharkhand,LOHARDAGA,DEOKUMAR DHAN,0,JKP,Basket containing Fruits,MALE,1.0,53.0,ST,Graduate,,,19397,149,19546,1.583587596,2.388414978,1234286
Jharkhand,LOHARDAGA,SANJAY ORAON,0,IND,Air Conditioner,MALE,0.0,41.0,ST,8th Pass,,,10658,5,10663,0.863900263,1.302960652,1234286
Jharkhand,LOHARDAGA,DINESH ORAON,0,AITC,Flowers and Grass,MALE,0.0,26.0,ST,12th Pass,,,9500,143,9643,0.781261393,1.178322195,1234286
Jharkhand,LOHARDAGA,RAGHUNATH MAHLI,0,IND,Tractor Chalata Kisan,MALE,0.0,47.0,ST,8th Pass,,,8948,2,8950,0.725115573,1.093641361,1234286
Uttar Pradesh,LUCKNOW,Rajnath Singh,1,BJP,Lotus,MALE,0.0,67.0,GENERAL,Post Graduate,,,627881,5145,633026,31.0251048,56.64003293,2040367
Uttar Pradesh,LUCKNOW,Poonam Shatrughan Sinha,0,SP,Bicycle,FEMALE,1.0,68.0,GENERAL,Graduate,,,282858,2866,285724,14.00355916,25.56516915,2040367
Uttar Pradesh,LUCKNOW,Acharya Pramod Krishnam,0,INC,Hand,MALE,0.0,56.0,GENERAL,Post Graduate,,,178904,1107,180011,8.822481446,16.1064932,2040367
Punjab,LUDHIANA,RAVNEET SINGH BITTU,1,INC,Hand,MALE,3.0,43.0,GENERAL,12th Pass,,,383284,511,383795,22.79981584,36.65576276,1683325
